title,subtitle,start,end,track,color,details,depth,textMarginTop
"PhD (Deep Learning)","University of Münster","2025-12","Present","education","bg-indigo-600","Advisor: Prof. Dr. Fabian Gieseke|Focus: Explainable AI",,
"MLSS Melbourne",,"2026-02","2026-02","education","bg-blue-500","Attended the Machine Learning Summer School 2026 in Melbourne, organized by Maincode|Please find further information <a href=""https://www.mlss-melbourne.com/"" target=""_blank"" rel=""noopener noreferrer"" class=""text-blue-400 hover:text-blue-300 underline"">here</a>","1","-10"
"MSc Information Systems","University of Münster","2023-04","2025-11","education","bg-indigo-600","Current grade: 1.0 (GPA 4.0/4.0)|Specialization: Data Science (ML, DL, Big Data, Data Management)",,
"Semester Abroad","Universidad Politécnica de Madrid","2024-09","2025-01","education","bg-blue-500","Erasmus+","1",
"BSc Information Systems","University of Münster","2019-10","2022-12","education","bg-indigo-600","Grade: 1.1 (GPA 3.8/4.0)",,
"Research Associate","Machine Learning and Data Engineering (MLDE) group, University of Münster","2025-12","Present","experience","bg-teal-600",,,
"Student Research Assistant","MLDE group","2025-03","2025-11","experience","bg-teal-700","Assisted the lecturer with designing and creating engaging slides for Data Structures and Algorithms.|Co-authored paper applying DL to satellite imagery.",,
"Student Research Assistant","MLDE group","2022-10","2024-08","experience","bg-teal-700","Proofread papers, created teaching material, programmed prototypes.",,"125"
"Data Scientist Intern","CLAAS E-Systems","2025-04","2025-06","experience","bg-emerald-500","Developed a pipeline to combine geospatial data with internal machine data and visualized results.|Trained various regression models on machine data using PySpark to reduce cost of sensors.|Contributed a classification model and dataset to internal AI toolkit and supported its adoption.","1",
"Tutor (Data Structures and Algorithms)","University of Münster","2024-04","2024-09","experience","bg-cyan-700","Graded exercises and conducted weekly tutorials.","1",
"Tutor (Data Structures and Algorithms)","University of Münster","2022-04","2022-09","experience","bg-cyan-700","Graded exercises and conducted weekly tutorials.",,
"Tutor (Data Structures and Algorithms)","University of Münster","2021-04","2021-09","experience","bg-cyan-700","Graded exercises and conducted weekly tutorials.",,
"Scholarship ""Deutschlandstipendium""","University of Münster","2021-10","2025-09","awards","bg-amber-600","Merit-based scholarship|Please find further information <a href=""https://www.deutschlandstipendium.de/deutschlandstipendium/de/services/english/english_node.html"" target=""_blank"" rel=""noopener noreferrer"" class=""text-blue-400 hover:text-blue-300 underline"">here</a>",,
"Best Thesis Award","Förderverein der Angewandten Informatik","2023-10","2023-10","awards","bg-amber-400","Best thesis in applied computer science at University of Münster in 2023|Please find further information <a href=""https://www.uni-muenster.de/AngewandteInformatik/aktivitaeten/foerderpreis/preisverleihung2023.html"" target=""_blank"" rel=""noopener noreferrer"" class=""text-blue-400 hover:text-blue-300 underline"">here</a>","1","-8"
"Best Bachelor's Degree","AlumniUM e.V.","2023-05","2023-05","awards","bg-amber-400","Best Bachelor's degree in winter term in Information Systems at University of Münster 2022/23|Please find further information <a href=""https://alumnium.net/aktuelles/auszeichnung-der-besten-bachelor-und-masterabsolvent-innen-des-winters-1/"" target=""_blank"" rel=""noopener noreferrer"" class=""text-blue-400 hover:text-blue-300 underline"">here</a>","1","-8",
